============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:09 687] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 697] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 707] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 717] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 728] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 738] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 749] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 758] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 768] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 779] isr_1conn  239  netperf:  80  
[2018/05/22 12:57:09 779] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 789] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 799] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 808] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 819] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 830] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 840] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 850] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 850] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 859] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 869] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 880] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 891] isr_1conn  1693 ISR_MSG_AUW  320  2  
